Pressure Altitude (ft),Temperature (�C),Propeller Pitch (rpm),Manifold Pressure (inHG),Power (%bHP),Airspeed (KTAS),Fuel Consumption (gal/hr)
4000,-13,2400,19,-64,-127,10.9
4000,-13,2300,22,-75,-135,12.8
4000,-13,2300,21,-70,-132,12
4000,-13,2300,20,-66,-128,11.2
4000,-13,2200,23,-75,-135,12.8
4000,-13,2200,22,-70,-132,12
4000,-13,2200,21,-66,-129,11.3
4000,-13,2200,20,-62,-125,10.5
4000,-13,2200,19,-57,-121,9.8
4000,-13,2100,23,-70,-132,11.9
4000,-13,2100,22,-66,-128,11.2
4000,-13,2100,21,-62,-125,10.5
4000,-13,2100,20,-57,-121,9.8
4000,-13,2100,19,-53,-117,9.2
4000,-13,2100,18,-49,-112,8.6
4000,-13,2100,17,-45,-107,8
4000,7,2400,22,-76,-139,13
4000,7,2400,21,-71,-136,12.1
4000,7,2400,20,-66,-132,11.3
4000,7,2400,19,-62,-128,10.6
4000,7,2300,23,-76,-140,13.1
4000,7,2300,22,-72,-136,12.3
4000,7,2300,21,-68,-133,11.5
4000,7,2300,20,-63,-129,10.8
4000,7,2200,23,-72,-136,12.3
4000,7,2200,22,-68,-133,11.6
4000,7,2200,21,-64,-129,10.9
4000,7,2200,20,-59,-126,10.2
4000,7,2200,19,-55,-121,9.5
4000,7,2100,23,-67,-133,11.5
4000,7,2100,22,-63,-129,10.8
4000,7,2100,21,-59,-126,10.1
4000,7,2100,20,-55,-121,9.5
4000,7,2100,19,-51,-117,8.9
4000,7,2100,18,-47,-112,8.3
4000,7,2100,17,-43,-107,7.8
4000,27,2400,22,-73,-140,12.5
4000,27,2400,21,-69,-136,11.7
4000,27,2400,20,-64,-133,11
4000,27,2400,19,-60,-128,10.2
4000,27,2300,23,-74,-141,12.6
4000,27,2300,22,-70,-137,11.9
4000,27,2300,21,-65,-134,11.2
4000,27,2300,20,-61,-130,10.4
4000,27,2200,23,-70,-137,11.9
4000,27,2200,22,-66,-134,11.2
4000,27,2200,21,-61,-130,10.5
4000,27,2200,20,-57,-126,9.8
4000,27,2200,19,-53,-121,9.2
4000,27,2100,23,-65,-133,11.1
4000,27,2100,22,-61,-130,10.4
4000,27,2100,21,-57,-126,9.8
4000,27,2100,20,-53,-122,9.3
4000,27,2100,19,-50,-117,8.7
4000,27,2100,18,-46,-112,8.1
4000,27,2100,17,-42,-106,7.6
6000,-17,2400,21,-75,-138,12.9
6000,-17,2400,20,-71,-135,12.1
6000,-17,2400,19,-66,-131,11.2
6000,-17,2300,22,-77,-139,13.1
6000,-17,2300,21,-72,-136,12.3
6000,-17,2300,20,-67,-132,11.5
6000,-17,2300,19,-63,-128,10.7
6000,-17,2200,22,-72,-136,12.3
6000,-17,2200,21,-68,-132,11.6
6000,-17,2200,20,-63,-129,10.8
6000,-17,2200,19,-59,-125,10.1
6000,-17,2100,22,-67,-132,11.5
6000,-17,2100,21,-63,-129,10.8
6000,-17,2100,19,-55,-121,9.5
6000,-17,2100,18,-51,-116,8.8
6000,-17,2100,17,-47,-111,8.2
6000,3,2400,22,-77,-143,13.3
6000,3,2400,21,-73,-139,12.4
6000,3,2400,20,-68,-136,11.6
6000,3,2400,19,-64,-132,10.8
6000,3,2300,22,-74,-140,12.6
6000,3,2300,21,-69,-137,11.8
6000,3,2300,20,-65,-133,11.1
6000,3,2300,19,-60,-129,10.3
6000,3,2200,22,-69,-137,11.9
6000,3,2200,21,-65,-133,11.1
6000,3,2200,20,-61,-129,10.4
6000,3,2200,19,-57,-125,9.7
6000,3,2100,22,-65,-133,11.1
6000,3,2100,21,-61,-129,10.4
6000,3,2100,19,-53,-121,9.2
6000,3,2100,18,-49,-116,8.6
6000,3,2100,17,-45,-110,8
6000,23,2400,22,-75,-144,12.8
6000,23,2400,21,-70,-140,12
6000,23,2400,20,-66,-136,11.2
6000,23,2400,19,-61,-132,10.5
6000,23,2300,22,-71,-141,12.2
6000,23,2300,21,-67,-137,11.4
6000,23,2300,20,-63,-133,10.7
6000,23,2300,19,-58,-129,10
6000,23,2200,22,-67,-137,11.5
6000,23,2200,21,-63,-134,10.8
6000,23,2200,20,-59,-130,10.1
6000,23,2200,19,-55,-125,9.5
6000,23,2100,22,-63,-133,10.7
6000,23,2100,21,-59,-129,10.1
6000,23,2100,19,-51,-121,8.9
6000,23,2100,18,-47,-115,8.3
6000,23,2100,17,-43,-110,7.8
8000,-21,2400,21,-77,-142,13.3
8000,-21,2400,20,-72,-139,12.4
8000,-21,2400,19,-68,-135,11.5
8000,-21,2400,18,-63,-130,10.7
8000,-21,2300,21,-74,-139,12.6
8000,-21,2300,20,-69,-136,11.8
8000,-21,2300,19,-64,-132,11
8000,-21,2300,18,-60,-127,10.2
8000,-21,2200,21,-69,-136,11.8
8000,-21,2200,20,-65,-132,11.1
8000,-21,2200,19,-61,-128,10.3
8000,-21,2200,18,-56,-124,9.7
8000,-21,2100,21,-65,-132,11.1
8000,-21,2100,20,-61,-129,10.4
8000,-21,2100,19,-57,-124,9.7
8000,-21,2100,18,-52,-120,9.1
8000,-21,2100,17,-48,-115,8.5
8000,-1,2400,21,-74,-143,12.7
8000,-1,2400,20,-70,-139,11.9
8000,-1,2400,19,-65,-135,11.1
8000,-1,2400,18,-60,-131,10.3
8000,-1,2300,21,-71,-140,12.1
8000,-1,2300,20,-66,-137,11.3
8000,-1,2300,19,-62,-132,10.6
8000,-1,2300,18,-58,-128,9.9
8000,-1,2200,21,-67,-137,11.4
8000,-1,2200,20,-63,-133,10.7
8000,-1,2200,19,-58,-129,10
8000,-1,2200,18,-54,-124,9.3
8000,-1,2100,21,-63,-133,10.7
8000,-1,2100,20,-59,-129,10
8000,-1,2100,19,-54,-124,9.4
8000,-1,2100,18,-50,-120,8.8
8000,-1,2100,17,-46,-114,8.2
8000,19,2400,21,-72,-144,12.3
8000,19,2400,20,-67,-140,11.5
8000,19,2400,19,-63,-136,10.7
8000,19,2400,18,-58,-132,10
8000,19,2300,21,-69,-141,11.7
8000,19,2300,20,-64,-137,11
8000,19,2300,19,-60,-133,10.2
8000,19,2300,18,-56,-128,9.6
8000,19,2200,21,-65,-137,11
8000,19,2200,20,-60,-133,10.3
8000,19,2200,19,-56,-129,9.7
8000,19,2200,18,-52,-124,9.1
8000,19,2100,21,-60,-133,10.3
8000,19,2100,20,-57,-129,9.7
8000,19,2100,19,-53,-124,9.1
8000,19,2100,18,-49,-119,8.5
8000,19,2100,17,-45,-113,8
10000,-25,2400,20,-74,-142,12.7
10000,-25,2400,19,-69,-138,11.8
10000,-25,2400,18,-65,-134,11
10000,-25,2400,17,-60,-129,10.2
10000,-25,2300,20,-71,-140,12.1
10000,-25,2300,19,-66,-136,11.3
10000,-25,2300,18,-61,-131,10.5
10000,-25,2300,17,-57,-126,9.7
10000,-25,2200,20,-67,-136,11.4
10000,-25,2200,19,-62,-132,10.6
10000,-25,2200,18,-58,-128,9.9
10000,-25,2200,17,-53,-123,9.2
10000,-25,2100,20,-63,-132,10.7
10000,-25,2100,19,-58,-128,10
10000,-25,2100,18,-54,-123,9.3
10000,-25,2100,17,-50,-118,8.7
10000,-25,2100,16,-46,-112,8.1
10000,-5,2400,20,-71,-143,12.2
10000,-5,2400,19,-67,-139,11.4
10000,-5,2400,18,-62,-135,10.6
10000,-5,2400,17,-57,-130,9.8
10000,-5,2300,20,-68,-140,11.6
10000,-5,2300,19,-64,-136,10.9
10000,-5,2300,18,-59,-131,10.1
10000,-5,2300,17,-55,-126,9.4
10000,-5,2200,20,-64,-137,11
10000,-5,2200,19,-60,-132,10.2
10000,-5,2200,18,-56,-128,9.6
10000,-5,2200,17,-51,-123,8.9
10000,-5,2100,20,-60,-133,10.3
10000,-5,2100,19,-56,-128,9.6
10000,-5,2100,18,-52,-123,9
10000,-5,2100,17,-48,-118,8.4
10000,-5,2100,16,-44,-111,7.8
10000,15,2400,20,-69,-144,11.8
10000,15,2400,19,-64,-140,11
10000,15,2400,18,-60,-135,10.2
10000,15,2400,17,-55,-130,9.5
10000,15,2300,20,-66,-141,11.2
10000,15,2300,19,-61,-136,10.5
10000,15,2300,18,-57,-132,9.8
10000,15,2300,17,-53,-126,9.1
10000,15,2200,20,-62,-137,10.6
10000,15,2200,19,-58,-133,9.9
10000,15,2200,18,-54,-128,9.3
10000,15,2200,17,-50,-122,8.7
10000,15,2100,20,-58,-133,9.9
10000,15,2100,19,-54,-128,9.4
10000,15,2100,18,-50,-123,8.8
10000,15,2100,17,-46,-116,8.2
10000,15,2100,16,-42,-109,7.6
12000,-29,2400,18,-66,-138,11.3
12000,-29,2400,17,-61,-133,10.5
12000,-29,2400,16,-56,-128,9.7
12000,-29,2400,15,-51,-122,9
12000,-29,2300,18,-63,-135,10.8
12000,-29,2300,17,-58,-130,10
12000,-29,2300,16,-54,-125,9.3
12000,-29,2300,15,-49,-119,8.6
12000,-29,2200,18,-59,-131,10.2
12000,-29,2200,17,-55,-126,9.5
12000,-29,2200,16,-51,-121,8.8
12000,-29,2200,15,-46,-114,8.2
12000,-29,2100,18,-56,-127,9.6
12000,-29,2100,17,-51,-122,8.9
12000,-29,2100,16,-47,-116,8.3
12000,-9,2400,18,-64,-139,10.9
12000,-9,2400,17,-59,-133,10.1
12000,-9,2400,16,-54,-128,9.4
12000,-9,2400,15,-50,-121,8.7
12000,-9,2300,18,-61,-135,10.4
12000,-9,2300,17,-56,-130,9.7
12000,-9,2300,16,-52,-125,9
12000,-9,2300,15,-47,-118,8.3
12000,-9,2200,18,-57,-131,9.8
12000,-9,2200,17,-53,-126,9.2
12000,-9,2200,16,-49,-120,8.5
12000,-9,2200,15,-44,-113,7.9
12000,-9,2100,18,-54,-127,9.3
12000,-9,2100,17,-49,-121,8.7
12000,-9,2100,16,-45,-115,8.1
12000,11,2400,18,-61,-139,10.5
12000,11,2400,17,-57,-133,9.8
12000,11,2400,16,-52,-127,9.1
12000,11,2400,15,-48,-120,8.4
12000,11,2300,18,-59,-135,10
12000,11,2300,17,-54,-130,9.4
12000,11,2300,16,-50,-124,8.7
12000,11,2300,15,-45,-116,8.1
12000,11,2200,18,-55,-131,9.5
12000,11,2200,17,-51,-125,8.9
12000,11,2200,16,-47,-119,8.3
12000,11,2200,15,-43,-111,7.7
12000,11,2100,18,-52,-126,9
12000,11,2100,17,-48,-120,8.4
12000,11,2100,16,-44,-113,7.8
